1| |-1|-1|2|-1|0|1|%EOF%
2| |1|3|4|-1|0|1
3| |-1|-1|-1|2|0|1
4| |2|5|-1|-1|0|1
5| |-1|-1|7|4|0|1
6| |-1|7|8|-1|0|1
7| |5|-1|9|6|0|1
8| |6|9|-1|-1|0|1
9| |7|-1|10|8|0|1
10| |9|11|-1|-1|0|1
11| |14|12|-1|10|0|1
12| |15|13|-1|4|0|1
13| |16|-1|-1|5|0|1
14| |17|15|11|-1|0|1
15| |18|16|12|14|0|1
16| |16|-1|13|15|0|1
17| |20|18|14|-1|0|1
18| |-1|19|15|17|0|1
19| |-1|-1|16|18|0|1
20| |21|-1|17|-1|0|1
21| |22|-1|20|-1|0|1
22| |23|24|23|-1|0|1
23| |-1|-1|22|-1|0|1
24| |25|26|-1|22|0|1
25| |-1|27|24|-1|0|1
26| |-1|28|-1|24|0|1
27| |25|29|-1|-1|0|1
28| |-1|32|45|26|0|1
29| |30|-1|-1|27|0|1
30| |-1|31|29|-1|0|1
31| |-1|-1|-1|30|0|1
32| |-1|33|-1|28|0|1
33| |34|37|-1|32|0|1
34| |35|-1|33|-1|0|1
35| |-1|-1|34|36|0|1
36| |-1|-1|37|35|0|1
37| |36|-1|-1|33|0|1
38| |-1|-1|-1|39|0|1
39| |-1|38|40|47|0|1
40| |39|-1|41|-1|0|1
41| |40|-1|43|-1|0|1
42| |-1|43|-1|-1|0|1
43| |41|-1|-1|42|0|1
44| |-1|48|-1|-1|0|1
45| |28|46|48|-1|0|1
46| |-1|47|-1|47|0|1
47| |-1|39|50|46|0|1
48| |45|49|-1|44|0|1
49| |-1|-1|-1|48|0|1
50| |47|-1|51|-1|0|1
51| |50|-1|-1|-1|0|1
%EOF%
ID|Map Marker|North|East|South|West|Entity Event|Inspection Event

1| |-1|-1|2|-1|-1|0|%EOF%
2| |1|3|4|-1|0|-1
3| |-1|-1|-1|2|2|-1
4| |2|5|-1|-1|0|-1
5| |-1|-1|7|4|0|-1
6| |-1|7|8|-1|-1|-1
7| |5|-1|9|6|0|-1
8| |6|9|-1|-1|2|-1
9| |7|-1|10|8|2|-1
10| |9|11|-1|-1|3|-1
11| |14|12|-1|10|4|-1
12| |15|13|-1|4|4|-1
13| |16|-1|-1|5|5|-1
14| |17|15|11|-1|5|-1
15| |18|16|12|14|-1|0
16| |16|-1|13|15|4|-1
17| |20|18|14|-1|4|-1
18| |-1|19|15|17|6|-1
19| |-1|-1|16|18|5|-1
20| |21|-1|17|-1|5|-1
21| |22|-1|20|-1|6|-1
22| |23|24|23|-1|6|-1
23| |-1|-1|22|-1|-1|0
24| |25|26|-1|22|7|-1
25| |-1|27|24|-1|8|-1
26| |-1|28|-1|24|-1|-1
27| |25|29|-1|-1|7|-1
28| |-1|32|45|26|10|-1
29| |30|-1|-1|27|7|-1
30| |-1|31|29|-1|7|-1
31| |-1|-1|-1|30|9|-1
32| |-1|33|-1|28|-1|-1
33| |34|37|-1|32|17|-1
34| |35|-1|33|-1|-1|0
35| |-1|-1|34|36|18|-1
36| |-1|-1|37|35|19|-1
37| |36|-1|-1|33|18|-1
38| |-1|-1|-1|39|14|-1
39| |-1|38|40|47|13|-1
40| |39|-1|41|-1|13|0
41| |40|-1|43|-1|15|-1
42| |-1|43|-1|-1|16|-1
43| |41|-1|-1|42|16|-1
44| |-1|48|-1|-1|11|-1
45| |28|46|48|-1|6|-1
46| |-1|47|-1|47|5|-1
47| |-1|39|50|46|4|-1
48| |45|49|-1|44|6|-1
49| |-1|-1|-1|48|17|0
50| |47|-1|51|-1|10|-1
51| |50|-1|-1|-1|12|-1
